ra,dec,phot_g_mean_flux
24.665916729849062,65.1289581676125,2247588.298359917
37.63555636838314,63.187946590741845,1378721.7005682844
30.383517803678107,63.757834380750566,4610492.424143367
38.41752134622042,64.78725700733509,396626.9679392859
28.992001654738928,64.6918608356132,180908.09411351138
24.167635900374396,67.27556288184527,256984.79348083684
29.89963093407565,68.23329828522274,3711420.1017713086
17.106487419310984,61.72476229516642,385725.7701658352
16.330196180554466,63.85277286646683,389228.857548491
10.590065996515754,64.70610479130525,1446300.939346614
21.0356124251187,65.8736643832565,282178.83500530693
10.117299012941494,64.29253289286845,5968148.488296397
4.8463783925997586,67.32345314184015,9784165.860559903
5.240791630014763,68.33246528528908,245600.44787227266
23.777391368012808,68.36981942705052,454599.78190005745
17.697652404179966,70.89402704991775,209081.37981353034
26.333226194638037,71.99955600732733,1434510.6636507635
22.178076089153162,73.9515786312263,487619.60529744305
14.248444374078948,71.75039138310242,363031.4697878615
5.640342831244856,73.82592330889082,778211.7248809497
12.86203270570348,75.45730185412017,237602.22113365465
47.292490219297754,67.91438188842241,834760.0973163557
46.27032388639,70.44957048600642,1422201.1920683142
49.06606080067401,71.56401757790755,2965141.514280622
37.31443623948109,70.59561455234713,893937.8106968296
37.77860063946113,73.01794380183215,239432.38149997673
49.39344616091893,76.29323746941704,204163.10593002342
57.87289492995611,73.89252072816367,813206.7687284661
60.267437559071276,76.34855711218556,1.4494874692161528E7
82.357252260974,77.97745201773161,4.0439245735606104E7
88.0827175852073,80.51525598701969,915435.2312031476
51.23025415534386,77.52441280695024,468951.06165146804
72.3829839276856,79.84276335869002,450796.14289829327
78.78636102364793,81.9653850096981,2243130.199799497
29.33033499691,75.4644281527691,431302.7057562991
44.18366631769336,78.43711543154936,791938.7787257786
30.431829275265898,80.26549686760664,1059674.8630851537
1.5622392852242353,78.46197419003536,262764.71628258395
15.043718216701777,81.00497211330908,277632.3336337311
6.8931163158000395,82.71277188221579,260255.66742348956
41.200099700249496,80.68751353557278,206939.05049597524
74.8054262148132,83.35544093593707,222022.38013017675
